Original_Exercise,Predicted_Exercise,Accuracy
bicep_curl,lateral_raise,0.204
bicep_curl,lateral_raise,0.021
tricep_extension,bicep_curl,0.015
tricep_extension,push_ups,0.2
tricep_extension,bicep_curl,0.234
tricep_extension,bicep_curl,0.364
tricep_extension,tricep_extension,0.132
tricep_extension,bicep_curl,0.174
tricep_extension,tricep_extension,0.1
tricep_extension,tricep_extension,0.111
tricep_extension,bicep_curl,0.054
tricep_extension,push_ups,0.064
tricep_extension,bicep_curl,0.298
tricep_extension,bicep_curl,0.247
tricep_extension,tricep_extension,0.335
tricep_extension,tricep_extension,0.16
tricep_extension,bicep_curl,0.153
tricep_extension,tricep_extension,0.312
tricep_extension,tricep_extension,0.005
tricep_extension,tricep_extension,0.046
tricep_extension,bicep_curl,0.075
tricep_extension,,0
tricep_extension,,0
tricep_extension,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.062
push_ups,lateral_raise,0.089
push_ups,lateral_raise,0.159
push_ups,,0
push_ups,lateral_raise,0.083
push_ups,lateral_raise,0.169
push_ups,tricep_extension,0.151
push_ups,tricep_extension,0.113
push_ups,tricep_extension,0.213
push_ups,tricep_extension,0.122
push_ups,tricep_extension,0.001
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,tricep_extension,0.099
push_ups,,0
push_ups,push_ups,0.1
push_ups,push_ups,0.233
push_ups,bicep_curl,0.116
push_ups,push_ups,0.218
push_ups,,0
push_ups,tricep_extension,0.063
push_ups,tricep_extension,0.33
push_ups,lateral_raise,0.261
push_ups,push_ups,0.143
push_ups,tricep_extension,0.06
push_ups,lateral_raise,0.123
push_ups,lateral_raise,0.126
push_ups,lateral_raise,0.292
push_ups,lateral_raise,0.275
push_ups,lateral_raise,0.03
push_ups,lateral_raise,0.147
push_ups,lateral_raise,0.067
push_ups,lateral_raise,0.225
push_ups,lateral_raise,0.088
push_ups,lateral_raise,0.031
push_ups,lateral_raise,0.08
push_ups,lateral_raise,0.034
push_ups,lateral_raise,0.115
push_ups,lateral_raise,0.153
push_ups,lateral_raise,0.051
push_ups,lateral_raise,0.128
push_ups,lateral_raise,0.186
